Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2024-06-14 09:00:58,false,"Treadmill Running","10.01","701","00:50:13","168","180","4.7","162","203","5:01","3:25","--","--","1.23","7.9","9.8","262","--","348","0.0","341","510","24.0","No","00:00:03.2","11","31.0","00:49:57","00:50:13","--","--"
Treadmill Running,2024-06-01 07:24:56,false,"Treadmill Running","10.03","592","00:49:15","149","168","3.6","166","176","4:55","4:10","--","--","1.23","8.0","9.8","258","--","351","0.0","349","438","22.0","No","00:00:04.9","11","27.0","00:49:08","00:49:20","--","--"
Treadmill Running,2024-05-25 10:29:27,false,"Treadmill Running","12.10","773","00:59:45","159","169","4.1","165","186","4:56","3:36","--","--","1.24","7.9","9.8","263","--","356","0.0","352","500","23.0","No","00:01:44.4","13","29.0","00:59:42","00:59:45","--","--"
Treadmill Running,2024-05-20 07:10:26,false,"Treadmill Running","5.58","368","00:29:31","154","178","3.1","158","233","5:17","3:16","--","--","1.20","7.8","9.2","269","--","347","0.0","319","513","22.0","No","00:02:30.3","6","29.0","00:29:03","00:29:31","--","--"
Treadmill Running,2024-05-18 10:24:03,false,"Treadmill Running","10.01","554","00:50:14","145","166","3.2","163","248","5:01","3:33","--","--","1.23","7.8","9.6","269","--","349","0.0","339","502","22.0","No","00:00:01.5","11","30.0","00:49:48","00:50:14","--","--"
Treadmill Running,2024-05-17 16:06:10,false,"Treadmill Running","7.22","476","00:35:33","159","169","3.7","163","178","4:56","4:29","--","--","1.25","8.1","10.1","263","--","352","0.0","351","396","24.0","No","00:01:03.0","8","31.0","00:35:31","00:35:33","--","--"
Treadmill Running,2024-05-15 07:34:33,false,"Treadmill Running","5.01","320","00:27:27","148","178","2.8","151","233","5:29","3:16","--","--","1.21","7.6","9.1","303","--","334","0.0","303","520","21.0","No","00:00:03.1","6","29.0","00:27:06","00:27:29","--","--"
Treadmill Running,2024-05-14 13:19:55,false,"Treadmill Running","10.04","638","00:52:22","154","173","3.6","159","180","5:13","4:22","--","--","1.19","7.9","9.5","277","--","341","0.0","324","405","23.0","No","00:00:18.1","11","29.0","00:52:20","00:52:22","--","--"
Treadmill Running,2024-05-04 09:56:24,false,"Treadmill Running","10.04","650","00:51:03","159","175","3.9","161","181","5:05","3:11","--","--","1.27","7.7","9.8","264","--","359","0.0","346","534","20.0","No","00:02:23.2","11","29.0","00:50:32","00:51:21","--","--"
Treadmill Running,2024-05-03 15:28:05,false,"Treadmill Running","5.00","341","00:24:49","164","177","3.5","158","181","4:58","3:55","--","--","1.23","8.2","10.0","280","--","339","0.0","333","466","25.0","No","00:03:48.0","5","32.0","00:24:39","00:25:15","--","--"
Treadmill Running,2024-04-29 10:51:48,false,"Treadmill Running","10.02","444","00:51:40","129","159","2.4","159","218","5:09","3:33","--","--","1.21","8.0","9.6","264","--","340","0.0","326","506","20.0","No","00:04:36.2","10","27.0","00:51:21","00:51:40","--","--"
Treadmill Running,2024-04-27 10:26:37,false,"Treadmill Running","10.02","540","00:52:03","139","160","3.1","160","180","5:12","3:37","--","--","1.30","7.9","10.3","268","--","371","0.0","361","502","19.0","No","00:04:30.6","11","29.0","00:51:46","00:52:03","--","--"
Treadmill Running,2024-04-22 11:57:35,false,"Treadmill Running","10.90","773","00:53:32","171","183","5.0","160","177","4:55","3:10","--","--","1.27","8.1","10.3","266","--","361","0.0","356","536","23.0","No","00:04:04.3","11","31.0","00:53:12","00:53:32","--","--"
Running,2024-04-17 19:59:31,false,"Running","10.02","681","00:53:12","140","166","4.0","159","181","5:19","3:42","32","35","1.17","8.2","9.5","276","5:17","343","0.0","331","516","--","No","00:00:03.9","11","--","00:53:09","00:53:14","4","18"
Running,2024-04-14 08:00:16,false,"Limassol Running","10.07","674","00:54:49","145","179","3.6","156","191","5:27","3:00","10","7","1.15","8.2","9.4","280","5:25","330","0.0","315","596","--","No","00:00:23.4","11","--","00:54:44","00:54:49","6","12"
Treadmill Running,2024-04-06 10:53:21,false,"Treadmill Running","10.00","642","00:51:58","161","175","4.3","156","183","5:12","3:12","--","--","1.23","7.9","9.7","264","--","354","0.0","330","534","22.0","No","00:04:36.1","10","27.0","00:51:29","00:51:58","--","--"
Treadmill Running,2024-04-05 11:17:10,false,"Treadmill Running","5.03","342","00:27:01","159","180","3.3","153","216","5:22","2:42","--","--","1.36","7.4","9.9","273","--","396","0.0","353","591","24.0","No","00:03:23.0","6","31.0","00:26:22","00:27:01","--","--"
Treadmill Running,2024-03-29 10:29:45,false,"Treadmill Running","7.52","389","00:40:27","139","166","3.0","146","225","5:23","3:02","--","--","1.44","7.1","10.1","272","--","407","0.0","354","551","23.0","No","00:02:53.4","9","29.0","00:38:45","00:40:27","--","--"
Treadmill Running,2024-03-25 08:38:33,false,"Treadmill Running","5.02","341","00:27:41","152","176","3.2","137","233","5:31","3:18","--","--","1.28","7.4","9.5","332","--","354","0.0","290","521","25.0","No","00:03:39.9","5","30.0","00:27:29","00:27:41","--","--"
Treadmill Running,2024-03-24 09:01:08,false,"Treadmill Running","5.12","339","00:35:08","134","178","2.6","124","167","6:52","3:24","--","--","1.17","6.8","8.0","360","--","280","0.0","211","528","25.0","No","00:00:28.1","6","27.0","00:34:41","00:35:08","--","--"
Treadmill Running,2024-03-16 11:31:22,false,"Treadmill Running","6.13","439","00:30:56","173","198","4.4","160","231","5:03","4:01","--","--","1.24","8.1","10.0","269","--","352","0.0","344","463","22.0","No","00:00:36.3","7","28.0","00:30:54","00:30:56","--","--"
Treadmill Running,2024-03-09 09:51:20,false,"Treadmill Running","10.04","616","00:55:02","156","200","4.3","152","195","5:29","2:59","--","--","1.26","7.9","9.9","286","--","360","0.0","331","557","22.0","No","00:03:41.1","11","28.0","00:54:41","00:55:02","--","--"
Treadmill Running,2024-03-02 09:16:00,false,"Treadmill Running","10.01","568","00:54:10","146","185","3.3","146","240","5:25","3:03","--","--","1.25","7.9","9.7","300","--","350","0.0","313","560","21.0","No","00:00:01.9","11","28.0","00:53:35","00:54:10","--","--"
Treadmill Running,2024-03-01 12:25:27,false,"Treadmill Running","5.03","376","00:26:28","172","184","3.8","151","203","5:16","3:04","--","--","1.26","8.1","10.1","276","--","353","0.0","326","553","22.0","No","00:00:09.6","6","29.0","00:26:06","00:26:28","--","--"
Treadmill Running,2024-02-24 09:46:25,false,"Treadmill Running","11.11","754","00:59:53","167","191","4.5","150","173","5:23","2:39","--","--","1.33","7.6","10.0","282","--","376","0.0","340","601","23.0","No","00:00:24.7","13","27.0","00:59:50","00:59:53","--","--"
Treadmill Running,2024-02-22 07:19:42,false,"Treadmill Running","5.06","374","00:28:30","161","193","3.5","142","195","5:38","3:10","--","--","1.23","7.8","9.5","321","--","345","0.0","296","545","26.0","No","00:00:13.9","6","29.0","00:28:16","00:28:30","--","--"
Treadmill Running,2024-02-17 07:31:34,false,"Treadmill Running","8.56","405","00:49:36","126","178","2.7","132","203","5:48","4:04","--","--","1.17","7.3","8.5","341","--","272","0.0","236","455","20.0","No","00:03:44.6","8","24.0","00:48:32","00:49:36","--","--"
Treadmill Running,2024-02-10 12:16:05,false,"Treadmill Running","5.14","307","00:33:36","132","166","2.4","133","240","6:32","3:23","--","--","1.16","8.1","9.3","369","--","275","0.0","250","531","26.0","No","00:00:41.7","6","27.0","00:32:41","00:34:41","--","--"
Treadmill Running,2024-02-03 09:07:12,false,"Treadmill Running","5.05","308","00:24:30","155","177","3.1","160","210","4:51","3:41","--","--","1.29","8.0","10.3","265","--","364","0.0","357","504","22.0","No","00:00:12.5","6","25.0","00:24:29","00:24:30","--","--"
Running,2024-01-06 08:33:45,false,"Running","6.96","252","00:18:50","164","186","3.2","153","183","2:42","4:11","20","55","1.12","8.5","9.5","291","5:43","315","0.0","301","467","--","No","00:00:29.5","7","--","00:18:48","00:18:50","153","196"
Treadmill Running,2023-11-19 16:45:08,false,"Treadmill Running","9.00","644","00:47:40","168","205","5.0","159","176","5:18","2:46","--","--","1.79","6.5","11.5","229","--","477","0.0","464","587","22.0","No","00:01:49.6","14","28.0","00:47:16","00:47:40","--","--"
